Vardas                   Pavarde                  ND1            ND2            ND3            ND4            ND5            Egz.
Vardenis515              Pavardenis515            7              5              6              1              2              6
Vardenis516              Pavardenis516            8              4              3              8              10             2
Vardenis517              Pavardenis517            2              5              1              4              4              2
Vardenis518              Pavardenis518            6              9              4              1              6              2
Vardenis519              Pavardenis519            1              3              6              2              1              5
Vardenis520              Pavardenis520            1              7              5              9              10             6
Vardenis521              Pavardenis521            7              3              3              3              2              8
Vardenis522              Pavardenis522            5              8              9              7              1              1
Vardenis523              Pavardenis523            3              2              4              10             3              5
Vardenis524              Pavardenis524            2              6              5              1              7              7
Vardenis525              Pavardenis525            9              2              4              4              2              1
Vardenis526              Pavardenis526            6              9              10             4              9              10
Vardenis527              Pavardenis527            9              5              4              10             10             7
Vardenis528              Pavardenis528            10             8              8              3              6              3
Vardenis529              Pavardenis529            4              3              9              4              4              9
Vardenis530              Pavardenis530            6              8              9              9              2              4
Vardenis531              Pavardenis531            6              2              3              1              9              7
Vardenis532              Pavardenis532            6              6              4              10             6              4
Vardenis533              Pavardenis533            6              5              9              6              1              4
Vardenis534              Pavardenis534            6              1              9              5              4              6
Vardenis535              Pavardenis535            9              2              3              7              1              3
Vardenis536              Pavardenis536            3              2              7              6              1              2
Vardenis537              Pavardenis537            8              8              4              9              4              6
Vardenis538              Pavardenis538            2              4              3              2              10             5
Vardenis539              Pavardenis539            3              4              1              2              5              9
Vardenis540              Pavardenis540            7              7              2              4              9              8
Vardenis541              Pavardenis541            10             5              5              4              6              5
Vardenis542              Pavardenis542            5              3              8              8              6              7
Vardenis543              Pavardenis543            7              10             1              8              1              10
Vardenis544              Pavardenis544            9              7              8              4              3              1
Vardenis545              Pavardenis545            2              6              4              6              7              6
Vardenis546              Pavardenis546            5              7              9              2              6              9
Vardenis547              Pavardenis547            6              4              4              3              9              8
Vardenis548              Pavardenis548            7              10             7              5              7              4
Vardenis549              Pavardenis549            3              2              1              6              9              8
Vardenis550              Pavardenis550            1              1              4              8              4              5
Vardenis551              Pavardenis551            7              3              1              2              2              7
Vardenis552              Pavardenis552            6              4              5              10             6              4
Vardenis553              Pavardenis553            5              4              8              8              1              10
Vardenis554              Pavardenis554            2              6              5              1              1              8
Vardenis555              Pavardenis555            2              3              4              8              8              4
Vardenis556              Pavardenis556            4              4              10             2              6              9
Vardenis557              Pavardenis557            9              9              1              3              5              5
Vardenis558              Pavardenis558            4              4              7              8              7              7
Vardenis559              Pavardenis559            2              5              9              2              7              6
Vardenis560              Pavardenis560            10             7              9              8              2              10
Vardenis561              Pavardenis561            2              7              8              7              4              8
Vardenis562              Pavardenis562            2              3              8              10             5              8
Vardenis563              Pavardenis563            2              9              3              5              9              9
Vardenis564              Pavardenis564            2              7              3              1              5              9
Vardenis565              Pavardenis565            6              10             5              5              5              10
Vardenis566              Pavardenis566            10             5              6              4              3              2
Vardenis567              Pavardenis567            8              5              4              2              10             1
Vardenis568              Pavardenis568            8              4              9              5              3              7
Vardenis569              Pavardenis569            10             9              8              8              5              9
Vardenis570              Pavardenis570            8              9              4              3              2              10
Vardenis571              Pavardenis571            4              8              5              5              5              4
Vardenis572              Pavardenis572            6              2              4              3              9              1
Vardenis573              Pavardenis573            10             1              4              5              10             5
Vardenis574              Pavardenis574            5              4              10             9              6              4
Vardenis575              Pavardenis575            9              2              3              4              9              10
Vardenis576              Pavardenis576            9              6              2              1              7              2
Vardenis577              Pavardenis577            9              2              9              8              8              3
Vardenis578              Pavardenis578            9              3              4              7              7              10
Vardenis579              Pavardenis579            7              6              2              4              9              1
Vardenis580              Pavardenis580            8              7              2              7              1              4
Vardenis581              Pavardenis581            2              1              5              4              2              6
Vardenis582              Pavardenis582            9              10             6              5              6              8
Vardenis583              Pavardenis583            5              5              7              8              8              6
Vardenis584              Pavardenis584            3              7              9              9              10             2
Vardenis585              Pavardenis585            10             9              1              6              1              3
Vardenis586              Pavardenis586            10             7              1              3              3              10
Vardenis587              Pavardenis587            3              7              8              4              7              1
Vardenis588              Pavardenis588            6              3              2              8              2              2
Vardenis589              Pavardenis589            6              4              3              7              7              9
Vardenis590              Pavardenis590            2              6              9              7              10             5
Vardenis591              Pavardenis591            7              7              3              9              9              2
Vardenis592              Pavardenis592            7              9              8              9              10             8
Vardenis593              Pavardenis593            10             1              6              9              3              7
Vardenis594              Pavardenis594            10             8              2              8              6              2
Vardenis595              Pavardenis595            7              5              5              10             10             7
Vardenis596              Pavardenis596            2              6              6              7              1              8
Vardenis597              Pavardenis597            6              1              8              10             6              7
Vardenis598              Pavardenis598            9              6              4              8              1              8
Vardenis599              Pavardenis599            6              3              4              1              5              10
Vardenis600              Pavardenis600            9              6              9              1              1              10
Vardenis601              Pavardenis601            8              8              5              5              8              6
Vardenis602              Pavardenis602            10             3              4              3              3              4
Vardenis603              Pavardenis603            2              10             8              4              1              5
Vardenis604              Pavardenis604            4              8              9              1              9              9
Vardenis605              Pavardenis605            2              3              8              5              10             2
Vardenis606              Pavardenis606            10             4              7              3              1              8
Vardenis607              Pavardenis607            3              1              1              6              4              6
Vardenis608              Pavardenis608            8              8              5              5              4              4
Vardenis609              Pavardenis609            9              7              5              5              6              10
Vardenis610              Pavardenis610            3              5              5              3              5              3
Vardenis611              Pavardenis611            6              4              3              4              5              1
Vardenis612              Pavardenis612            3              4              8              3              1              8
Vardenis613              Pavardenis613            8              7              2              8              6              7
Vardenis614              Pavardenis614            8              10             1              9              6              8
Vardenis615              Pavardenis615            5              3              6              7              6              9
Vardenis616              Pavardenis616            9              3              9              6              3              8
Vardenis617              Pavardenis617            7              8              4              4              6              7
Vardenis618              Pavardenis618            10             5              5              6              10             7
Vardenis619              Pavardenis619            10             3              10             6              7              2
Vardenis620              Pavardenis620            8              9              4              8              3              7
Vardenis621              Pavardenis621            10             2              1              1              5              6
Vardenis622              Pavardenis622            7              4              7              5              7              8
Vardenis623              Pavardenis623            7              4              10             2              5              8
Vardenis624              Pavardenis624            6              1              1              6              6              9
Vardenis625              Pavardenis625            9              7              10             9              2              6
Vardenis626              Pavardenis626            7              1              7              1              5              8
Vardenis627              Pavardenis627            9              7              5              1              4              5
Vardenis628              Pavardenis628            2              1              1              5              4              7
Vardenis629              Pavardenis629            2              1              6              7              9              7
Vardenis630              Pavardenis630            8              7              8              9              10             5
Vardenis631              Pavardenis631            6              2              1              3              9              7
Vardenis632              Pavardenis632            8              1              8              8              5              7
Vardenis633              Pavardenis633            3              3              10             7              6              7
Vardenis634              Pavardenis634            5              1              7              10             7              3
Vardenis635              Pavardenis635            10             2              3              7              5              8
Vardenis636              Pavardenis636            1              9              3              5              2              1
Vardenis637              Pavardenis637            1              4              7              2              8              10
Vardenis638              Pavardenis638            9              1              3              10             9              10
Vardenis639              Pavardenis639            8              5              8              8              6              4
Vardenis640              Pavardenis640            10             2              3              10             7              2
Vardenis641              Pavardenis641            2              5              10             9              7              10
Vardenis642              Pavardenis642            8              5              9              3              6              9
Vardenis643              Pavardenis643            3              6              7              2              10             4
Vardenis644              Pavardenis644            8              2              4              3              1              7
Vardenis645              Pavardenis645            9              10             10             4              10             2
Vardenis646              Pavardenis646            2              4              5              9              3              5
Vardenis647              Pavardenis647            10             2              5              4              10             5
Vardenis648              Pavardenis648            10             6              3              2              7              8
Vardenis649              Pavardenis649            3              6              2              9              1              8
Vardenis650              Pavardenis650            6              8              5              3              10             2
Vardenis651              Pavardenis651            9              5              5              9              2              3
Vardenis652              Pavardenis652            9              5              7              8              4              2
Vardenis653              Pavardenis653            6              9              6              5              3              7
Vardenis654              Pavardenis654            7              5              7              2              5              1
Vardenis655              Pavardenis655            5              7              7              8              6              9
Vardenis656              Pavardenis656            2              2              6              2              2              10
Vardenis657              Pavardenis657            1              8              7              4              5              5
Vardenis658              Pavardenis658            6              8              3              7              6              7
Vardenis659              Pavardenis659            3              10             7              6              4              3
Vardenis660              Pavardenis660            2              7              4              5              10             1
Vardenis661              Pavardenis661            6              7              6              1              7              6
Vardenis662              Pavardenis662            4              4              3              7              7              1
Vardenis663              Pavardenis663            7              3              1              1              6              3
Vardenis664              Pavardenis664            1              6              7              2              1              5
Vardenis665              Pavardenis665            10             5              1              3              7              7
Vardenis666              Pavardenis666            5              1              8              3              7              7
Vardenis667              Pavardenis667            9              6              2              1              1              3
Vardenis668              Pavardenis668            2              4              9              5              4              6
Vardenis669              Pavardenis669            1              9              8              1              6              4
Vardenis670              Pavardenis670            6              7              4              1              3              10
Vardenis671              Pavardenis671            10             4              8              10             4              10
Vardenis672              Pavardenis672            4              1              3              6              2              2
Vardenis673              Pavardenis673            9              4              4              8              5              7
Vardenis674              Pavardenis674            8              2              10             5              7              2
Vardenis675              Pavardenis675            3              9              3              6              8              8
Vardenis676              Pavardenis676            9              5              3              1              7              6
Vardenis677              Pavardenis677            1              6              7              1              8              3
Vardenis678              Pavardenis678            5              5              5              1              6              1
Vardenis679              Pavardenis679            7              7              3              7              4              2
Vardenis680              Pavardenis680            8              6              6              6              5              9
Vardenis681              Pavardenis681            10             10             9              2              3              8
Vardenis682              Pavardenis682            8              10             3              2              9              3
Vardenis683              Pavardenis683            10             8              10             10             1              1
Vardenis684              Pavardenis684            7              5              3              6              4              6
Vardenis685              Pavardenis685            2              10             8              9              5              10
Vardenis686              Pavardenis686            2              10             9              8              10             7
Vardenis687              Pavardenis687            10             6              7              5              8              5
Vardenis688              Pavardenis688            5              9              7              6              2              5
Vardenis689              Pavardenis689            10             9              9              8              4              5
Vardenis690              Pavardenis690            6              8              8              6              2              4
Vardenis691              Pavardenis691            4              8              10             7              6              4
Vardenis692              Pavardenis692            5              1              3              5              10             9
Vardenis693              Pavardenis693            1              5              3              7              2              6
Vardenis694              Pavardenis694            7              2              1              6              1              5
Vardenis695              Pavardenis695            9              8              1              9              2              8
Vardenis696              Pavardenis696            3              9              1              2              2              10
Vardenis697              Pavardenis697            2              1              4              3              4              3
Vardenis698              Pavardenis698            3              9              2              9              8              6
Vardenis699              Pavardenis699            7              3              7              5              8              5
Vardenis700              Pavardenis700            4              8              1              6              5              4
Vardenis701              Pavardenis701            8              4              9              1              6              7
Vardenis702              Pavardenis702            9              3              7              9              2              3
Vardenis703              Pavardenis703            7              7              3              5              4              1
Vardenis704              Pavardenis704            3              1              6              2              1              6
Vardenis705              Pavardenis705            9              1              2              4              9              3
Vardenis706              Pavardenis706            9              5              6              8              3              4
Vardenis707              Pavardenis707            9              10             2              7              3              3
Vardenis708              Pavardenis708            2              4              9              6              7              7
Vardenis709              Pavardenis709            9              10             4              6              8              7
Vardenis710              Pavardenis710            10             6              8              8              1              1
Vardenis711              Pavardenis711            3              6              10             4              1              4
Vardenis712              Pavardenis712            8              7              2              6              3              6
Vardenis713              Pavardenis713            10             6              4              6              6              4
Vardenis714              Pavardenis714            7              7              9              6              3              2
Vardenis715              Pavardenis715            1              3              7              9              10             7
Vardenis716              Pavardenis716            3              6              9              9              7              7
Vardenis717              Pavardenis717            2              7              8              2              3              6
Vardenis718              Pavardenis718            3              5              10             3              8              1
Vardenis719              Pavardenis719            1              5              10             1              9              2
Vardenis720              Pavardenis720            1              1              2              8              4              6
Vardenis721              Pavardenis721            7              10             6              1              7              7
Vardenis722              Pavardenis722            3              4              7              8              6              3
Vardenis723              Pavardenis723            6              7              7              7              8              9
Vardenis724              Pavardenis724            7              5              6              6              9              1
Vardenis725              Pavardenis725            1              5              5              3              3              9
Vardenis726              Pavardenis726            7              6              1              10             10             10
Vardenis727              Pavardenis727            4              9              8              2              6              2
Vardenis728              Pavardenis728            10             10             9              6              3              4
Vardenis729              Pavardenis729            2              1              8              4              9              9
Vardenis730              Pavardenis730            6              10             7              10             4              2
Vardenis731              Pavardenis731            2              10             2              3              5              7
Vardenis732              Pavardenis732            9              1              9              10             6              1
Vardenis733              Pavardenis733            5              7              9              7              8              4
Vardenis734              Pavardenis734            4              2              8              4              2              4
Vardenis735              Pavardenis735            5              3              8              8              4              4
Vardenis736              Pavardenis736            7              6              6              4              7              1
Vardenis737              Pavardenis737            10             6              7              4              4              3
Vardenis738              Pavardenis738            10             10             7              4              6              6
Vardenis739              Pavardenis739            2              5              8              2              8              10
Vardenis740              Pavardenis740            10             7              6              3              3              4
Vardenis741              Pavardenis741            8              1              10             8              7              10
Vardenis742              Pavardenis742            6              7              10             10             4              6
Vardenis743              Pavardenis743            9              2              9              10             7              2
Vardenis744              Pavardenis744            9              5              6              4              5              7
Vardenis745              Pavardenis745            5              2              6              3              2              8
Vardenis746              Pavardenis746            6              5              9              4              9              6
Vardenis747              Pavardenis747            3              4              2              4              3              1
Vardenis748              Pavardenis748            1              1              9              6              3              9
Vardenis749              Pavardenis749            9              8              2              1              9              7
Vardenis750              Pavardenis750            4              3              3              3              8              1
Vardenis751              Pavardenis751            9              5              8              5              4              5
Vardenis752              Pavardenis752            5              5              7              1              6              6
Vardenis753              Pavardenis753            4              8              3              2              10             1
Vardenis754              Pavardenis754            9              9              9              1              10             2
Vardenis755              Pavardenis755            7              8              9              7              6              10
Vardenis756              Pavardenis756            9              1              6              5              7              8
Vardenis757              Pavardenis757            7              5              1              2              9              9
Vardenis758              Pavardenis758            5              10             5              7              5              1
Vardenis759              Pavardenis759            10             3              10             2              3              5
Vardenis760              Pavardenis760            4              10             10             8              8              7
Vardenis761              Pavardenis761            7              8              10             4              10             5
Vardenis762              Pavardenis762            6              5              7              10             9              7
Vardenis763              Pavardenis763            9              3              7              8              6              9
Vardenis764              Pavardenis764            7              9              3              5              4              6
Vardenis765              Pavardenis765            7              7              3              7              5              10
Vardenis766              Pavardenis766            3              5              3              10             7              7
Vardenis767              Pavardenis767            3              3              6              7              6              3
Vardenis768              Pavardenis768            10             6              8              5              5              4
Vardenis769              Pavardenis769            5              10             3              2              4              4
Vardenis770              Pavardenis770            8              4              4              1              6              5
Vardenis771              Pavardenis771            6              2              3              9              6              7
Vardenis772              Pavardenis772            1              2              9              10             3              8
Vardenis773              Pavardenis773            4              9              5              3              7              8
Vardenis774              Pavardenis774            7              4              1              3              10             4
Vardenis775              Pavardenis775            10             10             3              3              3              10
Vardenis776              Pavardenis776            5              10             5              9              5              7
Vardenis777              Pavardenis777            4              5              3              9              4              4
Vardenis778              Pavardenis778            8              9              4              8              6              10
Vardenis779              Pavardenis779            2              5              10             2              8              7
Vardenis780              Pavardenis780            3              6              3              3              9              7
Vardenis781              Pavardenis781            2              6              6              10             7              3
Vardenis782              Pavardenis782            7              9              10             1              7              5
Vardenis783              Pavardenis783            1              7              7              4              6              5
Vardenis784              Pavardenis784            2              9              9              5              5              8
Vardenis785              Pavardenis785            4              3              5              4              3              6
Vardenis786              Pavardenis786            2              3              5              10             6              1
Vardenis787              Pavardenis787            7              9              6              5              2              10
Vardenis788              Pavardenis788            2              10             3              4              3              3
Vardenis789              Pavardenis789            3              10             2              8              6              1
Vardenis790              Pavardenis790            10             10             9              10             9              1
Vardenis791              Pavardenis791            2              9              1              7              9              5
Vardenis792              Pavardenis792            6              6              1              9              7              1
Vardenis793              Pavardenis793            6              5              7              3              10             4
Vardenis794              Pavardenis794            3              6              7              4              6              8
Vardenis795              Pavardenis795            3              9              6              5              9              10
Vardenis796              Pavardenis796            3              9              7              9              9              9
Vardenis797              Pavardenis797            6              10             10             5              3              10
Vardenis798              Pavardenis798            10             9              8              9              4              2
Vardenis799              Pavardenis799            4              1              7              7              4              5
Vardenis800              Pavardenis800            1              9              4              8              7              7
Vardenis801              Pavardenis801            1              6              3              1              8              4
Vardenis802              Pavardenis802            7              9              8              10             5              9
Vardenis803              Pavardenis803            1              9              6              8              3              5
Vardenis804              Pavardenis804            3              10             3              1              2              6
Vardenis805              Pavardenis805            1              2              5              1              1              6
Vardenis806              Pavardenis806            8              5              8              8              6              3
Vardenis807              Pavardenis807            9              4              6              10             8              9
Vardenis808              Pavardenis808            10             7              1              10             1              2
Vardenis809              Pavardenis809            10             2              7              1              2              5
Vardenis810              Pavardenis810            4              5              8              10             7              10
Vardenis811              Pavardenis811            1              8              6              6              5              10
Vardenis812              Pavardenis812            5              3              1              10             8              4
Vardenis813              Pavardenis813            4              8              8              1              6              4
Vardenis814              Pavardenis814            2              3              7              5              3              5
Vardenis815              Pavardenis815            7              1              4              6              3              8
Vardenis816              Pavardenis816            2              2              5              10             7              6
Vardenis817              Pavardenis817            10             9              8              9              5              1
Vardenis818              Pavardenis818            3              10             1              6              9              3
Vardenis819              Pavardenis819            7              3              10             7              10             9
Vardenis820              Pavardenis820            4              10             6              8              1              2
Vardenis821              Pavardenis821            3              1              8              7              6              7
Vardenis822              Pavardenis822            4              3              9              6              6              9
Vardenis823              Pavardenis823            9              1              2              10             5              6
Vardenis824              Pavardenis824            7              8              8              2              9              4
Vardenis825              Pavardenis825            7              4              4              9              4              6
Vardenis826              Pavardenis826            10             7              2              2              10             5
Vardenis827              Pavardenis827            4              10             2              10             3              7
Vardenis828              Pavardenis828            1              8              1              10             4              9
Vardenis829              Pavardenis829            8              4              1              9              7              9
Vardenis830              Pavardenis830            4              1              7              9              6              4
Vardenis831              Pavardenis831            10             9              7              1              6              7
Vardenis832              Pavardenis832            4              9              10             7              1              6
Vardenis833              Pavardenis833            10             10             2              8              6              5
Vardenis834              Pavardenis834            9              9              5              2              2              8
Vardenis835              Pavardenis835            1              3              6              7              9              9
Vardenis836              Pavardenis836            1              6              4              5              4              8
Vardenis837              Pavardenis837            6              7              1              7              2              1
Vardenis838              Pavardenis838            10             9              8              10             6              4
Vardenis839              Pavardenis839            8              2              2              8              4              2
Vardenis840              Pavardenis840            7              10             2              5              3              8
Vardenis841              Pavardenis841            1              9              7              5              10             8
Vardenis842              Pavardenis842            1              2              4              2              2              10
Vardenis843              Pavardenis843            10             10             6              10             4              6
Vardenis844              Pavardenis844            7              2              5              4              10             6
Vardenis845              Pavardenis845            5              6              6              1              4              8
Vardenis846              Pavardenis846            3              3              5              4              1              6
Vardenis847              Pavardenis847            9              1              4              1              7              6
Vardenis848              Pavardenis848            5              1              9              9              5              9
Vardenis849              Pavardenis849            2              8              8              9              1              10
Vardenis850              Pavardenis850            1              1              1              3              1              5
Vardenis851              Pavardenis851            6              5              3              2              7              9
Vardenis852              Pavardenis852            5              7              7              7              3              9
Vardenis853              Pavardenis853            9              6              3              8              7              10
Vardenis854              Pavardenis854            3              2              7              1              8              7
Vardenis855              Pavardenis855            1              1              6              6              9              5
Vardenis856              Pavardenis856            5              4              10             7              4              7
Vardenis857              Pavardenis857            9              5              2              2              6              6
Vardenis858              Pavardenis858            5              3              10             3              5              1
Vardenis859              Pavardenis859            6              8              7              1              5              5
Vardenis860              Pavardenis860            8              6              6              10             2              9
Vardenis861              Pavardenis861            5              5              7              6              2              1
Vardenis862              Pavardenis862            5              10             10             6              9              8
Vardenis863              Pavardenis863            6              5              9              7              1              3
Vardenis864              Pavardenis864            7              3              8              4              2              6
Vardenis865              Pavardenis865            10             6              10             9              10             8
Vardenis866              Pavardenis866            5              1              9              5              8              3
Vardenis867              Pavardenis867            1              9              9              7              1              3
Vardenis868              Pavardenis868            4              10             2              4              8              10
Vardenis869              Pavardenis869            4              4              2              3              6              7
Vardenis870              Pavardenis870            3              1              7              2              8              8
Vardenis871              Pavardenis871            1              6              7              2              3              3
Vardenis872              Pavardenis872            7              2              1              6              6              4
Vardenis873              Pavardenis873            4              2              3              6              8              3
Vardenis874              Pavardenis874            2              8              2              3              3              9
Vardenis875              Pavardenis875            1              10             5              10             4              2
Vardenis876              Pavardenis876            5              2              5              4              1              5
Vardenis877              Pavardenis877            9              8              4              3              9              3
Vardenis878              Pavardenis878            4              10             9              6              1              9
Vardenis879              Pavardenis879            4              6              2              6              9              4
Vardenis880              Pavardenis880            8              2              7              1              10             1
Vardenis881              Pavardenis881            6              4              2              5              3              1
Vardenis882              Pavardenis882            2              6              10             1              5              3
Vardenis883              Pavardenis883            7              1              6              3              5              3
Vardenis884              Pavardenis884            4              9              6              1              6              4
Vardenis885              Pavardenis885            3              10             8              4              8              5
Vardenis886              Pavardenis886            10             9              9              9              1              10
Vardenis887              Pavardenis887            8              4              1              8              7              2
Vardenis888              Pavardenis888            3              5              3              9              7              4
Vardenis889              Pavardenis889            10             9              4              6              2              1
Vardenis890              Pavardenis890            10             7              3              6              5              9
Vardenis891              Pavardenis891            6              4              2              8              1              9
Vardenis892              Pavardenis892            1              5              7              10             7              9
Vardenis893              Pavardenis893            6              3              3              3              2              8
Vardenis894              Pavardenis894            9              6              10             10             3              10
Vardenis895              Pavardenis895            7              10             6              1              7              3
Vardenis896              Pavardenis896            6              3              4              2              7              2
Vardenis897              Pavardenis897            1              3              3              2              1              4
Vardenis898              Pavardenis898            6              6              1              1              9              1
Vardenis899              Pavardenis899            2              7              5              5              10             1
Vardenis900              Pavardenis900            10             3              6              2              5              1
Vardenis901              Pavardenis901            3              2              6              2              7              4
Vardenis902              Pavardenis902            1              9              3              6              7              5
Vardenis903              Pavardenis903            3              5              6              3              2              2
Vardenis904              Pavardenis904            6              1              6              2              8              3
Vardenis905              Pavardenis905            4              8              4              1              10             9
Vardenis906              Pavardenis906            5              5              10             6              1              6
Vardenis907              Pavardenis907            2              3              5              1              7              1
Vardenis908              Pavardenis908            2              10             10             4              8              1
Vardenis909              Pavardenis909            6              7              1              9              6              8
Vardenis910              Pavardenis910            10             2              1              3              7              10
Vardenis911              Pavardenis911            1              10             6              10             10             2
Vardenis912              Pavardenis912            2              5              8              6              2              4
Vardenis913              Pavardenis913            10             9              5              4              5              5
Vardenis914              Pavardenis914            1              2              8              5              2              8
Vardenis915              Pavardenis915            6              1              10             6              9              2
Vardenis916              Pavardenis916            3              8              1              10             7              8
Vardenis917              Pavardenis917            9              9              5              9              6              2
Vardenis918              Pavardenis918            4              6              2              5              8              3
Vardenis919              Pavardenis919            5              7              5              9              2              5
Vardenis920              Pavardenis920            9              7              7              7              1              10
Vardenis921              Pavardenis921            8              10             10             4              5              2
Vardenis922              Pavardenis922            5              1              8              7              3              3
Vardenis923              Pavardenis923            9              7              3              4              9              10
Vardenis924              Pavardenis924            4              8              4              8              7              5
Vardenis925              Pavardenis925            2              4              1              4              3              1
Vardenis926              Pavardenis926            3              4              5              4              8              6
Vardenis927              Pavardenis927            3              1              8              7              1              9
Vardenis928              Pavardenis928            7              9              10             5              4              10
Vardenis929              Pavardenis929            4              4              1              1              8              1
Vardenis930              Pavardenis930            8              3              4              8              4              2
Vardenis931              Pavardenis931            6              10             2              9              2              9
Vardenis932              Pavardenis932            4              9              9              9              5              8
Vardenis933              Pavardenis933            3              2              3              7              8              1
Vardenis934              Pavardenis934            9              4              5              2              10             3
Vardenis935              Pavardenis935            3              2              2              4              6              2
Vardenis936              Pavardenis936            2              1              9              2              3              5
Vardenis937              Pavardenis937            5              6              1              6              6              4
Vardenis938              Pavardenis938            1              9              10             1              8              3
Vardenis939              Pavardenis939            9              1              6              10             9              10
Vardenis940              Pavardenis940            2              2              6              4              8              10
Vardenis941              Pavardenis941            1              8              5              5              8              3
Vardenis942              Pavardenis942            2              5              7              3              8              2
Vardenis943              Pavardenis943            2              3              6              9              6              9
Vardenis944              Pavardenis944            5              7              9              6              9              6
Vardenis945              Pavardenis945            10             8              3              2              10             8
Vardenis946              Pavardenis946            3              4              6              3              8              10
Vardenis947              Pavardenis947            7              6              3              9              4              6
Vardenis948              Pavardenis948            8              4              6              10             8              10
Vardenis949              Pavardenis949            2              1              4              9              3              9
Vardenis950              Pavardenis950            7              2              6              7              10             2
Vardenis951              Pavardenis951            9              10             3              10             9              9
Vardenis952              Pavardenis952            5              3              9              7              2              8
Vardenis953              Pavardenis953            4              2              5              10             8              6
Vardenis954              Pavardenis954            10             9              2              6              6              3
Vardenis955              Pavardenis955            3              7              8              4              8              10
Vardenis956              Pavardenis956            5              8              3              5              10             4
Vardenis957              Pavardenis957            8              5              3              2              10             7
Vardenis958              Pavardenis958            8              10             10             5              7              3
Vardenis959              Pavardenis959            8              8              4              2              3              10
Vardenis960              Pavardenis960            8              2              3              7              7              4
Vardenis961              Pavardenis961            8              5              3              3              6              7
Vardenis962              Pavardenis962            5              2              6              4              3              4
Vardenis963              Pavardenis963            3              10             3              10             8              10
Vardenis964              Pavardenis964            6              10             5              3              10             1
Vardenis965              Pavardenis965            3              6              4              2              10             1
Vardenis966              Pavardenis966            5              8              6              10             1              9
Vardenis967              Pavardenis967            9              3              9              6              5              5
Vardenis968              Pavardenis968            2              5              8              6              10             2
Vardenis969              Pavardenis969            5              10             1              7              1              8
Vardenis970              Pavardenis970            4              2              2              9              7              1
Vardenis971              Pavardenis971            4              2              7              9              5              2
Vardenis972              Pavardenis972            6              3              7              1              5              4
Vardenis973              Pavardenis973            1              7              10             6              7              4
Vardenis974              Pavardenis974            6              3              9              6              1              7
Vardenis975              Pavardenis975            6              7              5              3              3              6
Vardenis976              Pavardenis976            6              7              2              4              7              1
Vardenis977              Pavardenis977            4              1              2              5              4              8
Vardenis978              Pavardenis978            1              10             3              6              3              3
Vardenis979              Pavardenis979            9              5              3              9              6              9
Vardenis980              Pavardenis980            3              8              3              3              1              4
Vardenis981              Pavardenis981            10             2              1              2              6              5
Vardenis982              Pavardenis982            5              6              10             10             3              7
Vardenis983              Pavardenis983            10             1              4              6              7              9
Vardenis984              Pavardenis984            9              10             6              7              10             2
Vardenis985              Pavardenis985            5              3              1              8              9              8
Vardenis986              Pavardenis986            9              2              9              4              4              6
Vardenis987              Pavardenis987            2              8              3              6              2              6
Vardenis988              Pavardenis988            9              3              5              1              9              2
Vardenis989              Pavardenis989            6              4              4              6              9              6
Vardenis990              Pavardenis990            8              10             10             3              5              5
Vardenis991              Pavardenis991            2              7              10             3              7              9
Vardenis992              Pavardenis992            6              3              1              2              3              9
Vardenis993              Pavardenis993            3              10             8              7              9              9
Vardenis994              Pavardenis994            8              9              6              5              6              10
Vardenis995              Pavardenis995            2              1              1              7              2              9
Vardenis996              Pavardenis996            8              2              8              2              1              8
Vardenis997              Pavardenis997            8              10             4              7              1              4
Vardenis998              Pavardenis998            5              5              10             7              6              10
Vardenis999              Pavardenis999            9              1              4              9              7              5
